Year,word,word_type,relative_usage
1994,nimrod,group 1,15.51442456
1994,nerd,group 2,46.87451815
1994,geek,group 2,37.81743539
1994,dork,group 2,15.30804646
1995,idiot,group 1,74.4027486
1995,moron,group 1,10.72069775
1995,nimrod,group 1,14.87655365
1995,nerd,group 2,46.78826381
1995,geek,group 2,37.54260783
1995,dork,group 2,15.66912836
1996,idiot,group 1,74.83578355
1996,moron,group 1,10.8212981
1996,nimrod,group 1,14.34291835
1996,nerd,group 2,46.19562185
1996,geek,group 2,38.40074211
1996,dork,group 2,15.40363604
1997,idiot,group 1,75.66593197
1997,moron,group 1,10.90314089
1997,nimrod,group 1,13.43092714
1997,nerd,group 2,44.46138163
1997,geek,group 2,40.53842442
1997,dork,group 2,15.00019395
1998,idiot,group 1,76.25474628
1998,moron,group 1,10.97108687
1998,nimrod,group 1,12.77416685
1998,nerd,group 2,42.56360001
1998,geek,group 2,42.82376912
1998,dork,group 2,14.61263087
1999,idiot,group 1,76.42985396
1999,moron,group 1,10.98508627
1999,nimrod,group 1,12.58505977
1999,nerd,group 2,41.55452389
1999,geek,group 2,44.0206258
1999,dork,group 2,14.42485031
2000,idiot,group 1,76.51055753
2000,moron,group 1,11.06684928
2000,nimrod,group 1,12.42259318
2000,nerd,group 2,39.96047289
2000,geek,group 2,45.32533701
2000,dork,group 2,14.7141901
2001,idiot,group 1,76.26217671
2001,moron,group 1,10.9432481
2001,nimrod,group 1,12.79457519
2001,nerd,group 2,38.22864777
2001,geek,group 2,46.74815409
2001,dork,group 2,15.02319814
2002,idiot,group 1,76.43491299
2002,moron,group 1,10.99591258
2002,nimrod,group 1,12.56917443
2002,nerd,group 2,37.10324194
2002,geek,group 2,47.76730566
2002,dork,group 2,15.1294524
2003,idiot,group 1,76.40823953
2003,moron,group 1,10.95908602
2003,nimrod,group 1,12.63267445
2003,nerd,group 2,36.18265424
2003,geek,group 2,48.90023514
2003,dork,group 2,14.91711062
2004,idiot,group 1,76.28732793
2004,moron,group 1,11.11739316
2004,nimrod,group 1,12.59527891
2004,nerd,group 2,35.28001201
2004,geek,group 2,49.83543613
2004,dork,group 2,14.88455187
2005,idiot,group 1,77.04855594
2005,moron,group 1,10.8026819
2005,nimrod,group 1,12.14876215
2005,nerd,group 2,34.96180066
2005,geek,group 2,50.10530675
2005,dork,group 2,14.93289259
2006,idiot,group 1,78.08852735
2006,moron,group 1,10.65341057
2006,nimrod,group 1,11.25806208
2006,nerd,group 2,34.42117803
2006,geek,group 2,50.45392926
2006,dork,group 2,15.1248927
2007,idiot,group 1,78.86187372
2007,moron,group 1,10.46627217
2007,nimrod,group 1,10.67185411
2007,nerd,group 2,34.52120303
2007,geek,group 2,50.54938249
2007,dork,group 2,14.92941447
2008,idiot,group 1,79.99371361
2008,moron,group 1,10.32703804
2008,nimrod,group 1,9.679248348
2008,nerd,group 2,34.61440542
2008,geek,group 2,50.58290168
2008,dork,group 2,14.80269291
2009,idiot,group 1,80.94684753
2009,moron,group 1,10.12266228
2009,nimrod,group 1,8.93049019
2009,nerd,group 2,34.8023704
2009,geek,group 2,50.36781056
2009,dork,group 2,14.82981905
